brand,tee_low,tee_high,polo_low,polo_high,dress_shirt_low,dress_shirt_high,jeans_low,jeans_high,dress_pants_low,dress_pants_high,sweater_low,sweater_high,outerwear_low,outerwear_high,shoes_low,shoes_high,not_a_staple,search_url,store_used,currency_basis,status,source,note
Paul Smith,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,250,725,895,2595,290,595,-,SKIP,https://www.paulsmith.com,USD,complete,https://www.paulsmith.com/mens/knitwear?sort=PRICE_ASCENDING | https://www.paulsmith.com/mens/knitwear?sort=PRICE_DESCENDING | https://www.paulsmith.com/mens/coats-jackets?sort=PRICE_ASCENDING | https://www.paulsmith.com/mens/coats-jackets?sort=PRICE_DESCENDING | https://www.paulsmith.com/search?q=mens%20bomber | https://www.paulsmith.com/search?q=mens%20zip-front%20jacket | https://www.paulsmith.com/mens/shoes/loafers?sort=PRICE_ASCENDING | https://www.paulsmith.com/navy-textured-cotton-raglan-sweater | https://www.paulsmith.com/dark-brown-corduroy-bomber-jacket,"US store (footer UNITED STATES $USD). Listing is infinite-scroll (21 per load, cookie modal left untouched), so I used the site's price sort both ways instead of reading all 168 knitwear / 128 coats and jackets items. Sweater low 250 = Navy Textured-Cotton Raglan Sweater (crew neck, organic cotton; cheaper knitwear items are knitted tees, polos, vest, cardigan, Man Utd collab); high 725 = Mauve Cashmere Crew Neck Sweater (items above it are AW26 SHOW runway Fair Isle 925, cashmere polos, cardigans). Outerwear style = bomber: low 895 = Dark Brown Corduroy Bomber Jacket, high 2595 = Tan Suede Bomber Jacket (other suede bombers 2290-2395; Storm System wool bomber 1195-1295; 195 Zebra Logo organic-cotton bombers are jersey pieces not in the coats-jackets category). Possible cheaper pair Navy Ripstop Zip-Front Jacket 695 / Brown Suede Zip-Front Jacket 2395 not used - descriptions do not show same cut. Excluded runway (AW26 SHOW Black Leather Flight Jacket 4595) and Gabriela Hearst/Castore collabs. Shoes (Loafers, 17 items): low 290 = Navy Suede Pierce Loafers (other Pierce colours 295), high 595 = Rialto / Murano Loafers; Faron Loafers 550 tagged SS26 SHOW excluded."
Officine Générale,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,495,495,995,1890,NONE,NONE,Shoes,SKIP,https://us.officinegenerale.com,USD_landed,complete,https://us.officinegenerale.com/collections/og-homme-men-knitwear/products.json | https://us.officinegenerale.com/collections/og-homme-men-outerwear/products.json | https://us.officinegenerale.com/collections/og-homme-men-leathers/products.json | https://us.officinegenerale.com/collections/og-homme-men-collection/products.json | https://us.officinegenerale.com/collections/og-homme-men-shoes/products.json | https://us.officinegenerale.com/products/cesario-jacket-grained-lamb-leather-black,"Shopify.currency USD rate 1.0 on US store; feed = page (Cesario jacket 1890 = $1,890.00 USD; Mycrew sweater 495 = $495.00 USD); site footer says taxes and duty included, no additional charges on delivery, hence USD_landed. Sweater: only crewnecks are Mycrew sweater (90% wool 10% cashmere) 495 and Marco sweater (wool/silk/alpaca/cashmere argyle) 495, so low 495; high 495 as no more expensive elevated-fibre crewneck (Remy sweater crewneck 695 is 80% wool 20% cotton, not elevated; Ricchi/Mahe are mock/turtle necks, Tarek is quarter-zip). Outerwear style = bomber: low 995 = Javier bomber (padded polyamide), high 1890 = Cesario jacket (zipped lamb-leather bomber) - OG names each model differently so pairing is by description, moderate confidence; other leathers Loki/Morel suede 1770, Mori lamb leather 1990, Ilan shearling 3250. Shoes NONE: men's shoes collection holds only Asahi sneakers (third-party, 215). DLC-prefixed collections on the site are a separate line, not read."
Brax,NC,NC,NC,NC,NC,NC,SKIP,SKIP,SKIP,SKIP,NC,NC,NC,NC,SKIP,SKIP,-,https://www.brax.com/en/us/search?q=,https://www.brax.com/en/us,USD,partial,https://www.brax.com/en/us | https://www.brax.com/en/us/c/411384025/men | https://www.brax.com/en/us/c/-s-910/men/clothing/new-arrivals | https://www.brax.com/en/us/search?q=jeans | https://www.brax.com/de/de,"US storefront (brax.com/en/us, USD) sells only men's pants and jeans: men's nav = New Arrivals / Pants / Jeans, new arrivals 68 items all trouser styles (Tino, Pepe, Chuck, Cadiz etc. 198-248 USD). Tees, polos, shirts, knitwear and jackets exist only on the European stores (e.g. brax.com/de/de Herren Bekleidung Jacken etc., EUR), so garment cells left NC rather than mixing EUR into a USD row; not_a_staple left - because the brand does make these items, just not for the US store. search_url tested: q=jeans returns 254 items, q=pants 564, nonsense query returns no count; word that passed = jeans."
Our Legacy,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,420,550,720,2450,550,680,-,SKIP,https://www.ourlegacy.com,USD_landed,complete,https://www.ourlegacy.com/mens/knitwear | https://www.ourlegacy.com/mens/outerwear | https://www.ourlegacy.com/mens/leather | https://www.ourlegacy.com/footwear/mens-footwear | https://www.ourlegacy.com/compact-roundneck-black-rustic-merino | https://www.ourlegacy.com/true-roundneck-charcoal-snug-alpaca-wool | https://www.ourlegacy.com/mini-jacket-black-worsted-wool | https://www.ourlegacy.com/mini-jacket-matted_-brown_-waxed_-bovine | https://www.ourlegacy.com/cypher-loafer-sombre-satin-bovine | https://www.ourlegacy.com/shipping-and-return,"Browser session shows USD prices (space thousand separator, e.g. 2 450 USD = 2450); server-side HTML fetch returns EUR, so all figures read from the rendered US pages. Shipping page: US orders delivered duty paid with no additional charges on delivery, prices exclude local sales tax - recorded as USD_landed (duties in, sales tax out). Sweater (crew = roundneck): low 420 = Compact Roundneck (70% merino 30% alpaca); high 550 = True Roundneck (50% alpaca 50% merino) - no cashmere crewneck in range; Popover Roundneck 550 is RWS wool. Outerwear style = Mini Jacket: low 720 = Mini Jacket black worsted wool, high 2450 = Mini Jacket matted brown waxed bovine leather (Mini Jacket top-dyed black leather 2190). Shoes: loafers low 550 = Cypher Loafer sombre satin bovine (page 550 USD, no strike price), high 680 = Cypher Loafer licorice croc bull hide; Light Loafer 630, Work Shop Loafer 590; Cigarr Slipper 460 excluded as a slipper. Loafers are listed as unisex."
Auralee,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,534,792,935,4527,1150,1353,-,https://auralee.jp/item?freeword=,https://auralee.jp,USD_landed,complete,https://auralee.jp/item?category_id=504 | https://auralee.jp/item?category_id=503 | https://auralee.jp/item?category_id=508 | https://auralee.jp/item?freeword=denim,"Carried from the 18 Sep pilot, not re-read. Prices are international USD marked 'Duties & Taxes Included' (landed, not a US-domestic list price). Exact prices: 533.50, 4526.50, 1149.50, rounded half-up. Sweater: Shetland Wool Cashmere Rib Knit P/O 533.50 -> High Gauge Soft Cashmere Knit P/O 792. Outerwear: Sheer Nylon Ripstop Hooded Blouson 935 -> Merino Mouton (shearling) Zip Blouson 4526.50. Shoes: Soft Leather Loafers 1149.50 -> Horsehide Leather Loafers 1353. Search URL passes on 'denim' (rev 3 rule); 'jeans' returns 0: 'denim' returns 10, 'knit' 52, 'coat' 12. The URL works; the test word is wrong for this brand."
Ami Paris,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,430,650,680,2650,730,810,-,SKIP,https://www.amiparis.com/en-us,USD,complete,https://www.amiparis.com/en-us/collections/men-sweaters-and-cardigans/products.json | https://www.amiparis.com/en-us/collections/men-jackets-and-coats/products.json | https://www.amiparis.com/en-us/collections/men-flat-shoes/products.json | https://www.amiparis.com/en-us/products/grey-wool-ami-de-coeur-funnel-neck-sweater-uks839018084 | https://www.amiparis.com/en-us/products/black-cow-leather-loafers-usv845al0122001 | https://www.amiparis.com/en-us/products/burgundy-crocodile-embossed-cowhide-leather-zipped-jacket-ujk954lh0070a235,"range outerwear: no style code (REF) exists in both entry fabric and leather/suede (HJK243 suede buttoned jacket, HJK850 lamb zipped jacket have no fabric twins), so plain range of men's jackets and coats excl. blazers, overshirts and vareuse: low 680 = Black Cotton Ami De Coeur Zipped Jacket, high 2650 = Burgundy crocodile embossed cowhide leather zipped jacket. Shopify Markets rate 1.176 (USD not base): used /en-us/ locale feeds; checks - funnel neck sweater feed 590 = page $590 USD, loafers feed 730 = page $730 USD, croc jacket feed 2650 = page $2,650 USD. No duties statement found on US product pages. Sweater low 430 = Grey Wool Crewneck Ami De Coeur Sweater (extrafine merino); high 650 = Black/Brown crewneck cashmere sweater with Ami de Coeur (alpaca crewnecks with Ami de Coeur are 690 if alpaca counts as elevated; Multicolor checkered wool crewneck 2210 is wool jacquard, excluded). Shoes (men-flat-shoes, 10 items): low 730 = Black cow leather loafers, high 810 = Leopard print cowhide leather loafers."
Todd Snyder,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,198,998,398,1298,368,798,-,SKIP,https://www.toddsnyder.com,USD,complete,https://www.toddsnyder.com/products/vista-crewsun-soaked | https://www.toddsnyder.com/products/made-in-italy-cashmere-crewdark-mocha | https://www.toddsnyder.com/collections/outerwear (Denim Dylan / Italian Suede Dylan) | https://www.toddsnyder.com/products/ts-casual-leather-flex-penny-loaferblack | https://www.toddsnyder.com/products/madison-collection-venetian-suede-loaferdark-brown ; all via /products.json,"Carried from the 18 Sep pilot, not re-read. Sweater: Vista Crewneck 198 (full price; currently marked to 129) -> Made in Italy Cashmere Crewneck 998 (core Cashmere Crewneck 328). Outerwear: Denim Dylan Jacket 398 -> Italian Suede Dylan Jacket 1298 (a 998 suede Dylan also listed). Shoes (loafer staple, own-label Todd Snyder): Mercer Penny Loafer 368 -> Italian Suede Venetian Loafer 798. Most own-label shoes read; stocked brands (New Balance, Red Wing, Paraboot etc.) excluded."
Boglioli,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,500,1775,1210,2450,NONE,NONE,Shoes,SKIP,https://www.bogliolimilano.com/en-us,USD,complete,https://www.bogliolimilano.com/en-us/products.json | https://www.bogliolimilano.com/en-us/products/linen-tencel-satin-bomber-dark-beige-25p_180_oc0204_sb5106_00_0300 | https://www.bogliolimilano.com/en-us/products/suede-bomber-blue-26p_180_ocp503_sb5901_00_0780 | https://www.bogliolimilano.com/en-us/collections/accessories,"Shopify Markets rate 1.1474 (base EUR); collection products.json endpoints return empty, so used /en-us/products.json (314 products) and checked each figure against the /en-us product page: Dark Grey Superlight Wool Crewneck 675 = $675.00; Brown Cashmere Crewneck 1775 = $1,775.00; Yellow crewneck feed 300 / compare 500 = page $300 / $500; Linen Tencel bomber 726 / 1210 = page; Blue Suede Bomber 1470 / 2450 = page (site running sales). Sweater low 500 = Yellow Garment Dyed Cotton Crewneck (regular 500, on sale 300; next full-price is Superlight Wool Crewneck 675); high 1775 = Brown Cashmere Crewneck (Wool Cashmere Crewneck 750). Outerwear style = bomber: low 1210 = Dark Beige Linen Tencel Satin Bomber (regular, on sale 726), high 2450 = Dark Khaki / Blue Suede Bomber (regular, on sale 1470); Brown Washed Flannel Padded Bomber 1750. Shoes NONE: no footwear in the feed or accessories collection (caps, belts, ties, bag only)."
Peserico,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,https://it.peserico.com/search?q=,https://it.peserico.com,NC,complete,https://it.peserico.com/search?q=jeans | https://it.peserico.com/search?q=denim | https://it.peserico.com/search?q=zzqxv,"Search-URL-only row (not_a_staple and currency_basis NC per spec). Tested: q=jeans returns results (page states 683 prodotti; first hits are Denim grigio lavato, Denim straight lavato, Denim in twill di cotone - all type TROUSERS), q=denim 436 prodotti, nonsense query returns no result count. Word that passed = jeans (denim also passes). Result counts look broad (fuzzy search across the catalogue) but top hits are denim. Italian storefront; /en/search 404s."
Ring Jacket,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,99000,132000,550000,880000,82500,220000,-,NC,https://www.ringjacket.co.jp,JPY,partial,https://www.ringjacket.co.jp/c/knit | https://www.ringjacket.co.jp/c/knit/5N356F17 | https://www.ringjacket.co.jp/c/knit/5N355F01UP | https://www.ringjacket.co.jp/c/coat | https://www.ringjacket.co.jp/c/blouson | https://www.ringjacket.co.jp/c/shoes | https://www.ringjacket.co.jp/c/ringjacketnapoli?page=1 | https://www.ringjacket.co.jp/p/search?keyword=jeans,"range outerwear: Blouson category is empty (0 items) and Coat has 2 items, neither with an entry-fabric twin, so plain range: low 550000 = Cashmere Glen Check Coat RC-74, high 880000 = Full Handmade Camel Balmacaan Coat. range shoes: no own-label loafer (loafers listed are stocked Saint Crispin's and Baudoin and Lange; Gaziano and Girling also stocked), so plain range of Ring Jacket Napoli own shoes: low 82500 = sheep suede leather sneaker greige, high 220000 = cordovan leather sneaker brown (unlined suede slip-on 93500, deerskin sneaker 88000). Japanese store, JPY prices include 10% consumption tax (zeikomi), labelled toten tokubetsu kakaku (store price label shown on every item, not a markdown). Sweater (knit category 8 of 8 items): low 99000 = 14.5-micron wool crewneck sweater; high 132000 = middle-gauge crewneck light grey (70% wool 30% cashmere, 7 gauge) - only elevated-fibre crewneck; cashmere hoodie 253000 and cashmere-silk mockneck 99000 are not crewnecks. search_url NC: search works as /p/search?keyword= but jeans and denim return 0 results; the Japanese word for denim returns 3 items that are denim-look tailoring (jacket, suit), not jeans - brand sells no jeans."
Drake's,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,345,1065,755,1995,575,1065,-,SKIP,https://us.drakes.com,USD,complete,https://us.drakes.com/collections/knitwear/products.json | https://us.drakes.com/collections/coats-jackets/products.json | https://us.drakes.com/collections/suede-jackets/products.json | https://us.drakes.com/collections/chore-jacket/products.json | https://us.drakes.com/collections/loafers/products.json | https://us.drakes.com/products/navy-cashmere-crew-neck-jumper | https://us.drakes.com/products/light-brown-suede-henri-summer-loafer,"Shopify.currency USD rate 1.0 on US store; feed = page (Navy Cashmere Crew Neck Jumper 1065 = $1,065.00; Henri loafer 575 = $575.00). Sweater low 345 = Brushed Shetland Crew Neck Jumper (many colours); high 1065 = Cashmere Crew Neck Jumper (navy/grey/oatmeal); Wool-Cashmere Crew 755; BEAMS F x Drake's crew 595 excluded as collab. Outerwear style = Five-Pocket Chore Jacket: low 755 = cotton duck canvas / selvedge denim / heavy twill versions, high 1995 = Heavyweight Suede Five-Pocket Chore Jacket (chocolate brown, rust). Excluded collabs (BEAMS F, Drake's by A. Levine, Featherbed for Drake's, Permanent Style). Shoes: vendor field is Drakes Ecom - US for all loafers including stocked Alden, Paraboot, Yuketen - judged by name; own in-house loafers low 575 = Henri Summer Loafer (suede), high 1065 = Charles Mk II Goodyear Welted Penny Loafer (suede); Charles Penny Loafer black leather 730."
Gran Sasso,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,https://shop.gransasso.it/en/search?q=,https://shop.gransasso.it/en/,NC,complete,https://shop.gransasso.it/en/search?q=jeans | https://shop.gransasso.it/en/search?q=denim | https://shop.gransasso.it/en/search?q=zzqxv,"Search-URL-only row. Site sits behind a Cloudflare check that cleared on its own (nothing clicked). Search form action is /en/search with param q. q=jeans returns No products were found (brand sells no jeans); q=denim returns 3 results (Denim overshirt, Denim cotton overshirt x2) - word that passed = denim (the brand's own word, used for denim overshirts). Note q=sweater also returns nothing, so the search seems to match exact title words only."
BOSS,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,159,549,SKIP,SKIP,SKIP,SKIP,-,SKIP,https://www.hugoboss.com/us,USD,complete,https://www.hugoboss.com/us/men-knitwear/?srule=sorting_price-low-to-high | https://www.hugoboss.com/on/demandware.store/Sites-US-Site/en_US/Product-Show?pid=hbna50527584 | https://www.hugoboss.com/on/demandware.store/Sites-US-Site/en_US/Product-Show?pid=hbna50565526 | https://www.hugoboss.com/on/demandware.store/Sites-US-Site/en_US/Product-Show?pid=hbna50570764,"Men's Sweaters & Cardigans category read in full (139 tiles incl. colour repeats, 77 unique styles; all tiles fetched via the site's lazy tile endpoint; no markdowns seen). hugoboss.com also sells HUGO (HUGO Red/Blue) - excluded; BOSS by Beckham and BOSS Selected by Shohei Ohtani excluded as collaborations. Low: BOSS Orange Cotton pique sweater with logo patch (Anion, crew neck, 95% cotton 5% cashmere) $159.00; cheapest BOSS Black crews are Merino wool sweater regular fit / Slim-fit sweater in merino wool $179.00. The $129 Crewneck sweater is HUGO Red, excluded. High: BOSS Camel Silk sweater with jacquard pattern and Silk-knit sweater with a seasonal pattern (L-Fabrizio, 100% silk, crew neck) both $549.00; no cashmere crewneck currently listed (BOSS Camel cashmere pieces are mock-neck $599, zip-neck $549, polos). BOSS Camel included as a BOSS sub-line; without Camel no elevated-fibre crewneck exists above the $159 cotton-cashmere piece. Most expensive crewneck overall is BOSS Camel Argyle virgin-wool boucle $599 (not elevated fibre)."
Corneliani,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,595,1125,1795,1850,595,975,-,SKIP,https://www.corneliani.com/en_us/,USD,complete,https://www.corneliani.com/en_us/mens-clothing/knitwear.html | https://www.corneliani.com/en_us/cashmere.html | https://www.corneliani.com/en_us/mens-clothing/outerwear-coats.html | https://www.corneliani.com/en_us/mens-accessories-and-shoes/shoes.html | https://www.corneliani.com/en_us/brown-wool-and-cashmere-blend-jumper-28m558-2a25124-032.html | https://www.corneliani.com/en_us/melange-navy-blue-cashmere-blend-field-jacket-2625m9-2620139-001.html | https://www.corneliani.com/en_us/sand-beige-linen-stretch-wool-field-jacket-2725x1-2720166-036.html | https://www.corneliani.com/en_us/blue-navy-leather-loafers-27tm65-2720924-001.html,"Root domain geo-redirects to it_it; used the en_us store (USD, listing and PDP prices match). Many items are marked down 40% - full (old) price used throughout. Knitwear: 56 items read in full. Sweater low: Melange grey / Light blue / Burgundy crew neck extra fine pure wool jumper $595 (navy crew neck light cotton sweatshirt $475 excluded as sweatshirt). Sweater high: Brown wool and cashmere blend jumper (crew neck, eco-cashmere, 7 gauge) $1,125. Outerwear (68 items; gilets excluded): cheapest style with an elevated version is the field jacket - low Sand beige linen, stretch wool field jacket $1,795 (marked down to $1,077), high Melange navy blue cashmere blend field jacket $1,850 (only elevated field jacket; cashmere blend, not pure). No suede/leather bomber exists; Brown nappa leather jacket $3,095 is a shirt-collar button jacket. Alternative coat pair: Dark blue pure wool coat $2,550 vs Blue pure cashmere coat $4,395. Shoes (35 items): low Blue navy leather loafers (driver construction) $595 (Brown antiqued leather tassel loafer also $595 full, sold out); high Brown/Blue deerskin loafers $975 (marked down to $585)."
Canali,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,625,1195,1995,8095,625,950,-,SKIP,https://us.canali.com,USD,complete,https://us.canali.com/api/catalog_system/pub/products/search/clothing/knitwear | https://us.canali.com/api/catalog_system/pub/products/search/clothing/jackets | https://us.canali.com/api/catalog_system/pub/products/search/shoes | https://us.canali.com/shoes/loafers,"VTEX store; read same-origin catalog search API (Price and ListPrice, regular = max; no markdowns found) and checked against displayed loafer prices (Brown suede loafers $775, tassel loafers $825/$695 match). Knitwear 54 items. Sweater low: Milk-colored extra-fine merino wool crew neck $625 (White lisle cotton jersey crew neck $550 excluded - long-sleeve jersey tee). Sweater high: Navy blue / Beige / Light melange gray cashmere crew neck $1,195. Outerwear (jackets category 58 items incl. leather; overshirts, shirt jackets and vests excluded): staple = blouson - low Brown Impeccabile wool blouson jacket $1,995 (Blue Impeccabile wool blouson, Inter Collection, also $1,995), high Brown woven suede blouson jacket $8,095 (other elevated blousons: sheepskin $7,550, goat suede and lambskin $5,050, wool-cashmere $4,250). Bomber pair alternative: wool bomber $2,395 vs nappa leather bomber $6,850. Shoes: 17 loafers (matches page count 17); low Black / Dark brown calfskin penny loafers $625, high Black buffed calfskin loafers $950. Inter Collection items included as part of the regular Canali range."
Thom Browne,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,970,1750,1740,5350,790,1360,-,SKIP,https://www.thombrowne.com,USD,complete,https://www.thombrowne.com/products.json | https://www.thombrowne.com/products/merino-wool-rwb-rib-stitch-pullover-mka585a-y1055-001 | https://www.thombrowne.com/products/classic-cashmere-4-bar-pullover-mka001a-00011-415 | https://www.thombrowne.com/products/selvedge-denim-backstrap-utility-jacket-mjo256s-f1215-480 | https://www.thombrowne.com/products/contrast-stitch-suede-utility-jacket-mjo243x-l0138-045 | https://www.thombrowne.com/products/pebble-grain-leather-rwb-tassel-loafers-mfl069b-00198-250 | https://www.thombrowne.com/products/box-calf-leather-penny-loafers-with-commando-soles-mfd054h-06764-001,"Shopify, Shopify.currency USD rate 1.0; root products.json 1,735 products (not round), no compare-at markdowns on the relevant items; storefront check: Selvedge Denim Backstrap Utility Jacket displays $1,740 = feed; product .js endpoints for chosen items return live. Men's types (MR*/MF*) only. Sweater (40 MRKP pullovers, necklines read from descriptions): low MERINO WOOL RWB RIB STITCH PULLOVER $970 (crew neckline); high CLASSIC CASHMERE 4-BAR PULLOVER $1,750 (crew neckline); Cashmere Jacquard Snowflake $2,300 and Fair Isle Cricket $2,580 are V-neck, excluded. Outerwear: cheapest style with an elevated version is the utility jacket - low SELVEDGE DENIM BACKSTRAP UTILITY JACKET $1,740, high CONTRAST STITCH SUEDE UTILITY JACKET $5,350 (tweed utility jackets $3,000-$4,850 not elevated). Alternatives: knit-rib blouson plain weave $2,590 vs suede $5,800; Chesterfield twill wool $3,550 vs cashmere $7,250. Shoes: low PEBBLE GRAIN LEATHER RWB TASSEL LOAFERS $790, high BOX CALF LEATHER PENNY LOAFERS WITH COMMANDO SOLES $1,360; Hector slippers ($690) and loafer mules excluded."
Burberry,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,885,1395,1495,4450,920,995,-,SKIP,https://us.burberry.com,USD,complete,https://us.burberry.com/l/mens-clothing/knitwear/ | https://us.burberry.com/web-api/pages/products?location=/cat10011063/cat10011071/cat10011075 | https://us.burberry.com/web-api/pages/products?location=/cat10011063/cat10011081 | https://us.burberry.com/web-api/pages/products?location=/cat10011063/cat10011095 | https://us.burberry.com/check-cashmere-sweater-p81317811 | https://us.burberry.com/wool-sweater-p81275861 | https://us.burberry.com/nylon-clapton-hooded-jacket-p81229011,"Read the site's same-origin listing API (current and old price, markdown flag; no markdowns in chosen items); counts match the pages (knitwear 63, coats & jackets 179, shoes 80). Storefront check: Check Cashmere Sweater displays $1,395.00 = API. Sweater low: Wool Sweater (crew neck, 100% wool) $885 (Check Trim Wool Sweater also $885). Sweater high: Check Cashmere Sweater (100% cashmere, crew neck confirmed from product image) $1,395; plain Cashmere Sweater $1,350; Mohair Wool Blend Jumper $1,795 is a rollneck, excluded. Outerwear: cheapest style with an elevated version is the Clapton hooded jacket - low Nylon Clapton Hooded Jacket $1,495, high Leather Clapton Hooded Jacket $4,450. Other pairs: Newport nylon $1,550 vs cashmere $3,395; Bloomsbury Harrington nylon $1,695 vs leather $4,595. Runway pieces (Suede Landport $9,995, Shearling Lemsford $17,500) excluded. Shoes: only 3 loafers - low Check and Leather Pembroke Loafers $920, high Leather Pembroke Loafers $995."
Herno,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,495,870,1060,2835,555,610,-,SKIP,https://us.herno.com,USD,complete,https://us.herno.com/en/men/clothing/sweaters-and-cardigan/ | https://us.herno.com/en/men/clothing/knitwear/ | https://us.herno.com/en/men/outerwear/ | https://us.herno.com/en/men/down-jackets/ | https://us.herno.com/en/men/accessories/shoes/,"range shoes: no loafers sold; Herno sells only Maggiore trainers (5 listed) - low Maggiore Trainers in Suede and Mesh $555 full (marked down to $389), high Maggiore Trainers in Nylon $610. US store prices use dot thousand separators ($1.060 = $1,060); tile shows sale price only, so full prices taken from PDP price-standard. Sweater (sweaters-and-cardigan 24 items; knitwear category shows only 2 polos): low Resort Sweater in Wool and Silk $495 (crew neck, Herno Resort sub-line, sold on the main store; without Resort: Sweater in Wool Silk $615 full, on sale $431); high Sweater in Cashmere $870 (crew neck, 100% cashmere); the dearer Cashmere and Wool Fisherman's Rib Sweater $970 (68% wool, 29% cashmere) is a minority-cashmere blend, not counted as elevated fibre. Outerwear (outerwear + down-jackets, 154 items; vests, shackets, blazers excluded; suede-effect microfibre and faux shearling not treated as elevated): cheapest style with an elevated version is the short coat (GC0001xx family) - low Short Coat in Matte Twill and Cashmere-Touch Flannel $1,060, high Short Coat in Pure Cashmere and Suede Effect $2,835. Alternative trench pair: Trench Coat in Washington $1,375 vs Trench Coat in New Cashmere and Changing Nylon $3,595."
Valstar,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,NC,https://valstarmilano.com/en-us/search?q=,https://valstarmilano.com/en-us,NC,complete,https://valstarmilano.com/en-us/search?q=jeans | https://valstarmilano.com/en-us/search?q=denim,"Search-URL-only row. valstarmilano.com/search?q=jeans redirects to the US market path /en-us/search (Shopify Markets, USD active, rate 1.170348 vs base). 'jeans' passed: 17 results returned, though none are jeans (Valstar sells no 5-pocket jeans; hits are jackets, overshirts, beanies, incl. Peter padded work jacket in denim and Cropped Valstarino in denim). 'denim' also returns results."
Aspesi,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,SKIP,265,775,475,1365,NONE,NONE,Shoes,SKIP,https://aspesi.com/en-us,USD,complete,https://aspesi.com/en-us/products.json | https://aspesi.com/products.json | https://aspesi.com/en-us/products/light-linen-polo-shirt-s6-a-ce65-c195-85070-en | https://aspesi.com/en-us/products/cashmere-crew-neck-jumper-w6-q-m100-4567-01200-en | https://aspesi.com/en-us/products/wool-yak-and-cashmere-blend-crew-neck-knit-w6-q-m822-3831-tx-01098-en,"range outerwear: Aspesi sells no suede, leather, shearling or cashmere outerwear (only wool-alpaca coat $1,200 and loden parka $1,240), so no entry/elevated pair; plain men's outerwear range (giubbotti, cappotti, parca, impermeabili; blazers, shirt-jackets and gilets excluded) = low Piece-dyed Canvas Jacket $475 full (on sale $285), high Vodka II Raincoat in nylon blend with Thermore wadding $1,365. Shopify Markets trap confirmed: rate 1.170348; root /products.json is EUR (Light Linen Polo 240) while /en-us/products.json gives USD (315) matching the en-us product page ($315 struck, $189 sale); used /en-us feed (1,054 products, 437 men's). Many items on 40% markdown - compare-at (full) price used. Sweater (82 men's maglie): low Cotton Crewneck Sweater - Navy $265 full (on sale); high Cashmere Crew-Neck Jumper (pure cashmere) $775. Shoes: no footwear in the catalogue - NONE."
