mark,brand_count,kind,owner,basis,brands
authentic soft,1,house_named_fabric,Levi's,sits in Levi's named fabric-tech family alongside Advanced Stretch and All Seasons Tech,Levi's
auralite,1,mill_or_fibre_supplier,Satisfy Running,AuraLite is Satisfy's trademarked fabric; it reaches Our Legacy through the Satisfy x Our Legacy collab,Our Legacy
arctic tech,1,house_named_fabric,Canada Goose,Canada Goose's proprietary shell fabric,Canada Goose
archive denim,1,noise,,collection/heritage descriptor not a fabric mark,Citizens of Humanity
arato,1,house_named_fabric,Arc'teryx,Arc'teryx's own nylon designation (Arato 30),Arc'teryx
aqualeather,1,house_named_fabric,Paul & Shark,Paul & Shark's own material name used in its product titles,Paul & Shark
aqua cotton - house fabric name,1,house_named_fabric,Raffi,harvester already annotated it as a house fabric name,Raffi
aqua,1,noise,,bare one-word fragment; no fabric referent on its own,Isaia
anemone modal jersey,1,house_named_fabric,Theory,Theory's named fabric (Anemone) plus composition,Theory
ambrox,1,mill_or_fibre_supplier,Firmenich,third-party chemical mark: Ambrox is Firmenich's aroma molecule; harvested from Margiela fragrance copy not textiles,Maison Margiela
alsavel,1,mill_or_fibre_supplier,Loro Piana,Alsavel is Loro Piana's suede/split-calf material name; a supplier mark where it appears elsewhere,Polo Ralph Lauren
alpinix,1,house_named_fabric,Norse Projects,Alpinix appears with a TM only on Norse Projects' own materials page and garments,Norse Projects
alosoft,1,house_named_fabric,Alo,Alo's proprietary knit,Alo
all seasons tech,1,house_named_fabric,Levi's,Levi's named fabric technology,Levi's
alcantara 1 product - licensed,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Zilli
airstop,1,house_named_fabric,Fedeli,Fedeli calls it 'our signature Airstop fabric',Fedeli
airluxe/ airluxesateen,1,house_named_fabric,AG,AG's own fabric names; two variants harvested together,AG
airlift,1,house_named_fabric,Alo,Alo's proprietary fabric,Alo
airknitx,1,house_named_fabric,Mack Weldon,listed under Mack Weldon's own signature fabrics,Mack Weldon
airbrush,1,house_named_fabric,Alo,Alo's proprietary fabric,Alo
ag-ed,1,house_named_fabric,AG,AG's named vintage wash/finish,AG
ag vapor wash,1,house_named_fabric,AG,AG's named finishing process,AG
ag ultimate stretch fabric,1,house_named_fabric,AG,AG-branded fabric name,AG
ag cloud soft denim,1,house_named_fabric,AG,AG-branded fabric name,AG
advantage chino,1,house_named_fabric,Brooks Brothers,Brooks Brothers' named performance chino fabric/product mark,Brooks Brothers
advanced stretch,1,house_named_fabric,Levi's,Levi's named fabric technology,Levi's
adidas ultimate365,1,mill_or_fibre_supplier,adidas,third-party brand's fabric technology carried on Malbon through the adidas collaboration,Malbon
activescuba,1,house_named_fabric,Redvanly,Redvanly's own fabric naming,Redvanly
activerib,1,house_named_fabric,Redvanly,Redvanly's own fabric naming,Redvanly
achillfarm,1,house_named_fabric,Zegna,Achill Farm is the Australian wool station Zegna sources from and markets as its own provenance mark,Zegna
ace,1,house_named_fabric,Mack Weldon,listed on Mack Weldon's signature-fabrics page as micro-brushed French terry,Mack Weldon
absorbing,1,noise,,generic performance descriptor,Eton
abc,1,house_named_fabric,Lululemon,ABC is lululemon's trademarked gusseted pant construction,Lululemon
[motif,1,noise,,harvest artefact fragment,Dior
90 content/collection pages,1,noise,,scraper coverage note not a mark,Easy Mondays
5 of 120 pdps,1,noise,,scraper coverage note,Wythe
4-way stretch selvedge,1,noise,,generic construction descriptor,Hiroshi Kato
3d fit system,1,unclear,,no Tecovas source found; phrasing is generic enough that it may be descriptive rather than a coined mark,Tecovas
37.5 technology,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Banana Republic
26 of 341 pdps,1,noise,,scraper coverage note,Rhude
24 of 297 feed products,1,noise,,scraper coverage note,Wythe
19 products),1,noise,,scraper coverage note,Eleventy
18-hour jersey,1,house_named_fabric,Mack Weldon,Mack Weldon's own jersey name,Mack Weldon
15milmil15,1,house_named_fabric,Zegna,Zegna's famous proprietary superfine wool cloth,Zegna
14 catalogue-wide,1,noise,,scraper coverage note,Rick Owens
0 hits for gore-tex,1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Easy Mondays
-tc,1,noise,,fragment of Stone Island's -TC fabric suffix,Stone Island
'woven in italy by loro piana'),1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Hackett
'windstopper by gore-tex'),1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Moncler
'water-repellent' (descriptive,1,noise,,quoted generic finish descriptor with the harvester's own note,Sid Mashburn
'water-repellent',1,noise,,generic finish descriptor,Billy Reid
'water repellent',1,noise,,generic finish descriptor,Officine Générale
'tissu technique' (generic,1,noise,,French for 'technical fabric'; generic descriptor,Hartford
'tissu deperlant',1,noise,,French for 'water-repellent fabric'; generic descriptor,Hartford
'technical fabric' (descriptive,1,noise,,generic descriptor already flagged by the harvester,Rag & Bone
'membrane',1,noise,,generic component word with no supplier named,Brunello Cucinelli
'exclusive technical fabric' unnamed,1,noise,,explicitly unnamed marketing phrase,Luca Faloni
'blue planet',1,house_named_fabric,Brax,Brax's own sustainability/denim programme name applied to its fabrics,Brax
"""water repellent"" finish descriptor",1,noise,,generic finish descriptor,Purple
"""soft water finishing""",1,noise,,descriptive finishing phrase not a coined mark,Robert Barakett
"""made with lycra""",1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Joe's Jeans
"""italian wool ventile""",1,mill_or_fibre_supplier,,"matched the known third-party supplier list at harvest (rule-based, not individually verified)",Banana Republic
